fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
0.24778761061946908,0.3972602739726028,0.0,0.0684931506849315,0.10684474123539234,0.14084507042253522,0.09893992932862193,0.567547723935391,0.606299212598425,0.13772455089820365,0.15384615384615394,0.3999999999999999,0
0.2831858407079646,0.5205479452054795,0.0,0.11643835616438356,0.14357262103505847,0.33802816901408456,0.21554770318021205,0.4941262848751933,0.3622047244094486,0.2095808383233533,0.21538461538461545,0.3999999999999999,0
0.2831858407079646,0.43835616438356173,0.04,0.0958904109589041,0.13355592654424042,0.19718309859154928,0.1696113074204947,0.5088105726872243,0.4094488188976375,0.1916167664670659,0.21538461538461545,0.3999999999999999,0
0.5840707964601769,0.10958904109589046,0.56,0.0684931506849315,0.10517529215358934,0.22535211267605634,0.19081272084805662,0.5822320117474362,0.3307086614173227,0.1497005988023952,0.21538461538461545,0.6000000000000001,0
0.24778761061946908,0.3972602739726028,0.0,0.0684931506849315,0.10684474123539234,0.14084507042253522,0.09893992932862193,0.567547723935391,0.606299212598425,0.13772455089820365,0.15384615384615394,0.3999999999999999,0
0.24778761061946908,0.36986301369863017,0.0,0.06164383561643835,0.10517529215358934,0.16901408450704225,0.12014134275618378,0.567547723935391,0.606299212598425,0.13772455089820365,0.15384615384615394,0.3999999999999999,0
0.2920353982300885,0.32876712328767127,0.06,0.04794520547945205,0.09515859766277132,0.19718309859154928,0.18727915194346292,0.4647577092511028,0.44094488188976344,0.07784431137724554,0.15384615384615394,0.3999999999999999,0
0.23893805309734517,0.36301369863013705,0.0,0.02054794520547945,0.08848080133555927,0.19718309859154928,0.05300353356890461,0.3325991189427384,0.5118110236220472,0.08383233532934128,0.2461538461538461,0.8,0
0.2831858407079646,0.31506849315068497,0.02,0.07534246575342465,0.10183639398998331,0.11267605633802817,0.04240282685512368,0.4941262848751933,0.48818897637795233,0.1437125748502994,0.16923076923076927,0.8,0
0.256637168141593,0.26027397260273977,0.36,0.3561643835616438,0.0984974958263773,0.22535211267605634,0.3392226148409895,0.567547723935391,0.4803149606299213,0.281437125748503,0.323076923076923,0.3999999999999999,0
